App,TestFileName,ProductionFileName,LOC,numberMethods,Assertion Roulette,Eager Test,Mystery Guest,Sleepy Test,Unknown Test,Redundant Assertion,Dependent Test,Magic Number Test,Conditional Test Logic,EmptyTest,General Fixture,IgnoredTest,Sensitive Equality,Verbose Test,Default Test,Resource Optimism,Duplicate Assert,Exception Catching Throwing,Constructor Initialization,Print Statement,Lazy Test
ExoPlayer,SsaDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/ssa/SsaDecoder.java,379,27,75,11,0,0,0,0,0,18,0,0,0,0,11,4,0,0,2,0,0,0,2
ExoPlayer,Tx3gDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/tx3g/Tx3gDecoder.java,284,27,42,13,0,0,0,0,0,13,0,0,0,0,12,0,0,0,7,0,0,0,2
ExoPlayer,CueTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/text/Cue.java,105,4,27,3,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4
ExoPlayer,Mp4WebvttDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/Mp4WebvttDecoder.java,168,11,4,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,2
ExoPlayer,CssParserTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/CssParser.java,269,13,27,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
ExoPlayer,WebvttSubtitleTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttSubtitle.java,307,17,106,0,0,0,0,0,0,18,0,0,0,0,0,3,0,0,0,0,0,0,3
ExoPlayer,WebvttCueParserTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttCueParser.java,243,22,47,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,7,0,0,0,0
ExoPlayer,WebvttDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/webvtt/WebvttDecoder.java,498,33,180,1,0,0,0,0,0,52,0,0,0,0,42,4,0,0,9,1,0,0,0
ExoPlayer,TextEmphasisTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TextEmphasis.java,729,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
ExoPlayer,TtmlStyleTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlStyle.java,286,30,74,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,17
ExoPlayer,TtmlRenderUtilTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlRenderUtil.java,126,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
ExoPlayer,TtmlDecoderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/text/ttml/TtmlDecoder.java,879,56,254,0,0,0,0,0,0,2,0,0,0,0,36,6,0,0,45,0,0,0,0
ExoPlayer,MergingMediaPeriodTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/MergingMediaPeriod.java,246,10,17,2,0,0,0,0,0,4,0,0,0,0,0,2,0,0,2,0,0,0,12
ExoPlayer,SilenceMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/SilenceMediaSource.java,88,6,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
ExoPlayer,ClippingMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/ClippingMediaSource.java,693,29,68,0,0,0,0,0,0,6,0,0,2,0,0,4,0,0,0,2,0,0,0
ExoPlayer,DefaultDrmSessionManagerProviderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/drm/DefaultDrmSessionManagerProvider.java,89,3,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,2
ExoPlayer,SampleQueueTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/SampleQueue.java,1758,121,109,37,0,0,0,1,0,100,2,1,7,0,0,6,0,0,46,1,0,0,57
ExoPlayer,MergingMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/MergingMediaSource.java,140,5,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0
ExoPlayer,TrackGroupArrayTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/source/TrackGroupArray.java,52,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,SinglePeriodTimelineTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/SinglePeriodTimeline.java,165,9,20,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,5
ExoPlayer,TrackGroupTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/common/src/main/java/com/google/android/exoplayer2/source/TrackGroup.java,48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ExoPlayer,CompositeSequenceableLoaderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/CompositeSequenceableLoader.java,280,12,15,11,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,8
ExoPlayer,DefaultMediaSourceFactoryTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/DefaultMediaSourceFactory.java,300,20,26,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
ExoPlayer,ProgressiveMediaPeriodTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/ProgressiveMediaPeriod.java,84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ExoPlayer,ShuffleOrderTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/ShuffleOrder.java,171,8,11,4,0,0,0,0,0,8,16,0,0,2,0,0,0,0,0,0,0,0,6
ExoPlayer,ConcatenatingMediaSourceTest,/home/luana-martins/.jnose_projects/ExoPlayer/library/core/src/main/java/com/google/android/exoplayer2/source/ConcatenatingMediaSource.java,1154,45,41,26,0,0,2,3,0,103,5,0,1,0,0,9,0,0,16,10,0,0,16
